treatment,standardized,gender,Subfield,Rank,resp_gender,age,paradigm,contact_group,sample,ResponseId
rank_gender,James Fearon,m,International/Global Security,Assistant Professor,m,NA,Liberalism,Netherlands 2017,International,507
rank_gender,Michael N. Barnett,m,International Relations of a particular region/country,Other,f,41,Other,Netherlands 2017,International,415
rank_gender,Duncan Snidal,m,International/Global Environmental Politics,Assistant Professor,m,NA,Non-paradigmatic,Netherlands 2017,International,81
rank_gender,Kenneth Waltz,m,Other,Emeritus,m,NA,Realism,Netherlands 2017,International,285
rank_gender,Alexander Wendt,m,International/Global Security,Other,m,NA,Constructivism,Netherlands 2017,International,228
rank_gender,Alexander Wendt,m,Other,Assistant Professor,m,45,Other,Netherlands 2017,International,400
rank_gender,Alexander Wendt,m,${e://Field/CountryAdj} Foreign Policy,Other,NA,NA,Constructivism,Finland 2017,International,171
rank_gender,Alexander Wendt,m,International/Global Ethics,Other,NA,47,Non-paradigmatic,Sweden 2017,International,458
rank_gender,Alexander Wendt,m,International/Global Security,Associate Professor,NA,NA,Non-paradigmatic,Sweden 2017,International,138
rank_gender,John G. Ruggie,m,International/Global Political Economy,Associate Professor,NA,NA,Constructivism,Sweden 2017,International,395
rank_gender,John J. Mearsheimer,m,International Relations of a particular region/country,Other,NA,NA,Liberalism,Denmark 2017,International,49
rank_gender,David A. Lake,m,Other,Associate Professor,NA,NA,Non-paradigmatic,Sweden 2017,International,470
rank_gender,Alexander George,m,Comparative Foreign Policy,Associate Professor,NA,NA,Non-paradigmatic,Sweden 2017,International,288
rank_gender,Robert O. Keohane,m,European Studies/European Integration,Other,NA,25,Non-paradigmatic,Norway 2017,International,578
rank_gender,James Fearon,m,International/Global Security,Assistant Professor,f,40,Liberalism,Netherlands 2017,International,26
rank_gender,Ian Hurd,m,Development studies,Other,NA,42,Constructivism,Sweden 2017,International,426
rank_gender,Alexander Wendt,m,International/Global Security,Assistant Professor,m,NA,Realism,United Kingdom 2017,International,423
rank_gender,Alexander Wendt,m,Religion in IR,Assistant Professor,f,38,Constructivism,United Kingdom 2017,International,541
rank_gender,Cynthia Enloe,f,International/Global Security,Assistant Professor,m,NA,Constructivism,United Kingdom 2017,International,213
rank_gender,Alexander Wendt,m,International Organization(s),Associate Professor,f,44,Constructivism,United Kingdom 2017,International,54
rank_gender,James Fearon,m,Other,Full Professor,m,46,Non-paradigmatic,United Kingdom 2017,International,182
rank_gender,Alexander Wendt,m,International Relations of a particular region/country,Assistant Professor,m,37,Constructivism,United Kingdom 2017,International,59
rank_gender,Robert O. Keohane,m,International/Global Environmental Politics,Assistant Professor,m,NA,Liberalism,United Kingdom 2017,International,341
rank_gender,Alexander Wendt,m,Development studies,Assistant Professor,m,NA,Constructivism,United Kingdom 2017,International,33
rank_gender,Richard Ned Lebow,m,International/Global Security,Assistant Professor,m,NA,Constructivism,United Kingdom 2017,International,284
rank_gender,Steve Smith,m,International Relations Theory,Assistant Professor,f,35,Other,United Kingdom 2017,International,304
rank_gender,Alexander Wendt,m,International/Global Security,Full Professor,m,47,Other,Sweden 2017,International,9
rank_gender,Ole Waever,NA,International/Global Security,Associate Professor,m,NA,Non-paradigmatic,United Kingdom 2017,International,243
rank_gender,Robert Brenner,m,International/Global History,Associate Professor,m,NA,Other,United Kingdom 2017,International,186
rank_gender,Alexander Wendt,m,U.S. Foreign Policy,Associate Professor,NA,NA,Other,United Kingdom 2017,International,150
rank_gender,Alexander Wendt,m,International Organization(s),Full Professor,m,NA,Constructivism,United Kingdom 2017,International,133
rank_gender,Cynthia Enloe,f,Global Civil Society,Other,NA,NA,Other,United Kingdom 2017,International,523
rank_gender,Michel Foucault,m,International Relations Theory,Full Professor,f,56,Non-paradigmatic,United Kingdom 2017,International,389
rank_gender,Alexander Wendt,m,International/Global Security,Other,f,29,Constructivism,United Kingdom 2017,International,98
rank_gender,Barry Buzan,m,International/Global History,Associate Professor,m,44,Non-paradigmatic,United Kingdom 2017,International,143
rank_gender,Alexander Wendt,m,International/Global Security,Associate Professor,m,NA,Constructivism,United Kingdom 2017,International,566
rank_gender,Raymond D. Duvall,m,Gender in IR,Associate Professor,f,47,Constructivism,Sweden 2017,International,29
rank_gender,Alexander Wendt,m,International/Global Security,Assistant Professor,NA,NA,Constructivism,Denmark 2017,International,528
rank_gender,Erica Chenoweth,f,International/Global History,Associate Professor,NA,NA,Non-paradigmatic,Norway 2017,International,330
rank_gender,Giorgio Agamben,m,Development studies,Associate Professor,NA,NA,Other,Sweden 2017,International,140
rank_gender,Shirin Rai,f,European Studies/European Integration,Associate Professor,NA,38,Other,Denmark 2017,International,437
rank_gender,Stefano Guzzini,m,European Studies/European Integration,Other,NA,33,Non-paradigmatic,Norway 2017,International,357
rank_gender,James Fearon,m,International Organization(s),Other,NA,41,Non-paradigmatic,Sweden 2017,International,100
rank_gender,Cynthia Weber,f,Other,Other,NA,NA,Other,United Kingdom 2017,International,41
rank_gender,Robert O. Keohane,m,Other,Associate Professor,m,41,Other,United Kingdom 2017,International,573
rank_gender,Alexander Wendt,m,International Organization(s),Other,f,NA,Liberalism,United Kingdom 2017,International,79
rank_gender,Vincent Pouliot,m,International Relations Theory,Full Professor,m,58,Constructivism,Singapore 2017,International,192
rank_gender,Robbie Shilliam,m,International Relations Theory,Assistant Professor,f,35,Other,United Kingdom 2017,International,542
rank_gender,Amitav Acharya,m,International Relations Theory,Associate Professor,NA,NA,Other,United Kingdom 2017,International,142
rank_gender,Joseph S. Nye Jr.,m,International/Global Political Economy,Assistant Professor,NA,NA,Liberalism,Singapore 2017,International,187
rank_gender,Cynthia Weber,f,Other,Assistant Professor,NA,NA,Non-paradigmatic,United Kingdom 2017,International,572
rank_gender,Susan Strange,f,International/Global Political Economy,Full Professor,m,57,Constructivism,United Kingdom 2017,International,274
rank_gender,Susan Strange,f,International/Global Political Economy,Full Professor,m,57,Constructivism,United Kingdom 2017,International,274
rank_gender,Anne-Marie Slaughter,f,European Studies/European Integration,Assistant Professor,f,NA,Non-paradigmatic,Netherlands 2017,International,8
rank_gender,Ian Manners,m,Comparative Foreign Policy,Assistant Professor,NA,NA,Non-paradigmatic,United Kingdom 2017,International,34
rank_gender,Graham T. Allison,m,International/Global Environmental Politics,Associate Professor,NA,NA,Non-paradigmatic,Sweden 2017,International,323
rank_gender,Robert O. Keohane,m,International Organization(s),Full Professor,NA,NA,Liberalism,Norway 2017,International,252
rank_gender,Susan Strange,f,European Studies/European Integration,Assistant Professor,f,NA,NA,Netherlands 2017,International,329
rank_gender,Susan Strange,f,European Studies/European Integration,Assistant Professor,f,NA,NA,Netherlands 2017,International,329
rank_gender,Michael C. Williams,m,International Relations Theory,Assistant Professor,f,41,Realism,United Kingdom 2017,International,219
rank_gender,Robert O. Keohane,m,European Studies/European Integration,Other,NA,NA,Constructivism,Sweden 2017,International,531
rank_gender,Deborah Avant,f,International/Global Political Economy,Associate Professor,NA,NA,Constructivism,Denmark 2017,International,51
rank_gender,Robert W. Cox,m,International/Global Political Economy,Associate Professor,m,NA,Constructivism,United Kingdom 2017,International,11
rank_gender,John J. Mearsheimer,m,International Relations of a particular region/country,Assistant Professor,m,40,Non-paradigmatic,Singapore 2017,International,87
rank_gender,Fred Halliday,m,International/Global Political Economy,Assistant Professor,m,35,Other,United Kingdom 2017,International,408
rank_gender,Kathryn A. Sikkink,f,Human Security,Other,m,37,Constructivism,Singapore 2017,International,115
rank_gender,Helen V. Milner,f,International/Global Security,Assistant Professor,m,NA,Non-paradigmatic,Singapore 2017,International,230
rank_gender,John J. Mearsheimer,m,NA,NA,NA,NA,NA,NA,International,449
rank_gender,John J. Mearsheimer,m,NA,NA,NA,NA,NA,NA,International,449
rank_gender,Kathryn A. Sikkink,f,Gender in IR,Associate Professor,f,51,Constructivism,United Kingdom 2017,International,318
rank_gender,Alexander Wendt,m,Other,Full Professor,NA,NA,Constructivism,Sweden 2017,International,519
rank_gender,E.H. Carr,m,International Relations Theory,Full Professor,NA,76,Constructivism,Sweden 2017,International,188
rank_gender,Michel Foucault,m,International/Global Political Economy,Associate Professor,m,57,Non-paradigmatic,United Kingdom 2017,International,99
rank_gender,Mary Kaldor,f,Other,Associate Professor,NA,46,Constructivism,Sweden 2017,International,358
rank_gender,Andrew Hurrell,m,International/Global Security,Assistant Professor,f,NA,Other,United Kingdom 2017,International,413
rank_gender,Stathis N. Kalyvas,m,I am not an IR scholar,Assistant Professor,f,NA,Non-paradigmatic,Netherlands 2017,International,40
rank_gender,Len Seabrook,m,U.S. Foreign Policy,Associate Professor,f,40,Non-paradigmatic,United Kingdom 2017,International,409
rank_gender,Joseph S. Nye Jr.,m,International Relations of a particular region/country,Full Professor,f,NA,Realism,Philippines 2017,International,224
rank_gender,Emanuel Adler,m,International Relations Theory,Assistant Professor,m,42,Constructivism,United Kingdom 2017,International,343
rank_gender,Barry Buzan,m,International/Global Security,Assistant Professor,m,NA,Constructivism,United Kingdom 2017,International,310
rank_gender,Michel Foucault,m,European Studies/European Integration,Full Professor,m,51,Constructivism,United Kingdom 2017,International,108
rank_gender,Kenneth Waltz,m,U.S. Foreign Policy,Full Professor,NA,NA,Realism,United Kingdom 2017,International,214
rank_gender,Robert O. Keohane,m,European Studies/European Integration,Associate Professor,m,48,Realism,United Kingdom 2017,International,267
rank_gender,Alexander Wendt,m,International/Global Security,Other,f,NA,Constructivism,Netherlands 2017,International,516
rank_gender,Barry Buzan,m,International/Global Environmental Politics,Associate Professor,m,50,Other,United Kingdom 2017,International,513
rank_gender,James Fearon,m,Gender in IR,Full Professor,m,49,Non-paradigmatic,Sweden 2017,International,217
rank_gender,Andrew Moravcsik,m,NA,NA,NA,NA,NA,NA,International,36
rank_gender,Alexander Wendt,m,NA,NA,NA,NA,NA,NA,International,510
rank_gender,Stephen M. Walt,m,Other,Associate Professor,m,39,Realism,United Kingdom 2017,International,307
rank_gender,Stephen Waltz,m,Other,Associate Professor,m,39,Realism,United Kingdom 2017,International,307
rank_gender,John J. Mearsheimer,m,International Relations of a particular region/country,Assistant Professor,f,NA,Constructivism,United Kingdom 2017,International,478
rank_gender,Hans Morgenthau,m,Religion in IR,NA,m,64,Realism,Israel 2017,International,536
rank_gender,Joseph S. Nye Jr.,m,Development studies,Full Professor,m,NA,Other,Philippines 2017,International,313
rank_gender,Alexander Wendt,m,International Relations of a particular region/country,Associate Professor,m,41,Constructivism,New Zealand 2017,International,235
rank_gender,Alexander Wendt,m,Other,Other,m,57,Non-paradigmatic,Australia 2017,International,444
rank_gender,Alexander Wendt,m,International Relations Theory,Assistant Professor,f,47,Other,New Zealand 2017,International,37
rank_gender,Martha Finnemore,f,Other,Assistant Professor,m,NA,Other,Australia 2017,International,506
rank_gender,Kathryn A. Sikkink,f,Global Civil Society,Associate Professor,f,38,Constructivism,Australia 2017,International,149
rank_gender,Alexander Wendt,m,International Relations of a particular region/country,Full Professor,m,65,Other,Australia 2017,International,359
rank_gender,Cynthia Enloe,f,Gender in IR,Other,m,NA,Other,Australia 2017,International,535
rank_gender,Alexander Wendt,m,International/Global Health,Associate Professor,m,NA,Constructivism,Australia 2017,International,70
rank_gender,Alexander Wendt,m,International Relations of a particular region/country,Other,NA,NA,Constructivism,Sweden 2017,International,440
rank_gender,Nicholas G. Onuf,m,Other,Associate Professor,m,47,Constructivism,New Zealand 2017,International,272
rank_gender,Martha Finnemore,f,International/Global Security,Associate Professor,f,46,Constructivism,Australia 2017,International,280
rank_gender,Robert O. Keohane,m,International/Global Environmental Politics,Other,NA,40,Constructivism,Sweden 2017,International,132
rank_gender,Charles Tilly,m,International/Global Security,Other,f,43,Other,United Kingdom 2017,International,273
rank_gender,Charles Tilly,m,International/Global Security,Other,f,43,Other,United Kingdom 2017,International,273
rank_gender,Robert O. Keohane,m,International/Global Political Economy,Assistant Professor,m,NA,Constructivism,United Kingdom 2017,International,574
rank_gender,Kenneth Waltz,m,International Relations of a particular region/country,Full Professor,m,63,Other,Singapore 2017,International,302
rank_gender,Kenneth Waltz,m,International Relations of a particular region/country,Other,m,NA,Constructivism,Singapore 2017,International,265
rank_gender,Kenneth Waltz,m,Other,Full Professor,m,NA,Non-paradigmatic,New Zealand 2017,International,457
rank_gender,Michel Foucault,m,Other,Assistant Professor,f,NA,Constructivism,Australia 2017,International,95
rank_gender,Cynthia Weber,f,International/Global Security,Associate Professor,f,NA,Other,Australia 2017,International,152
rank_gender,Alexander Wendt,m,International/Global Ethics,Associate Professor,m,51,Constructivism,Australia 2017,International,10
rank_gender,Robert W. Cox,m,Development studies,Associate Professor,f,48,Other,Australia 2017,International,501
rank_gender,R. B. J. Walker,m,International/Global Security,Assistant Professor,m,NA,Constructivism,Australia 2017,International,350
rank_gender,Richard A. Falk,m,Human Rights,Associate Professor,f,NA,Other,Australia 2017,International,345
rank_gender,Joseph S. Nye Jr.,m,${e://Field/CountryAdj} Foreign Policy,Associate Professor,m,55,Liberalism,Australia 2017,International,538
rank_gender,Stathis N. Kalyvas,m,International Relations Theory,Associate Professor,m,44,Non-paradigmatic,Australia 2017,International,397
rank_gender,Robert O. Keohane,m,International/Global Political Economy,Assistant Professor,NA,NA,Non-paradigmatic,Singapore 2017,International,420
rank_gender,Barry Buzan,m,Other,Associate Professor,m,56,Constructivism,Australia 2017,International,386
rank_gender,Alexander Wendt,m,International/Global Security,Other,NA,NA,Other,Denmark 2017,International,479
rank_gender,Michel Foucault,m,European Studies/European Integration,Full Professor,f,47,Constructivism,Denmark 2017,International,351
rank_gender,Kenneth Waltz,m,Comparative Foreign Policy,Associate Professor,NA,47,Realism,Denmark 2017,International,360
rank_gender,Kenneth Waltz,m,International/Global Security,Other,NA,NA,Constructivism,Denmark 2017,International,158
rank_gender,Cynthia Enloe,f,Other,Associate Professor,f,NA,Constructivism,Australia 2017,International,557
rank_gender,Cynthia Enloe,f,Gender in IR,Associate Professor,NA,47,Constructivism,Sweden 2017,International,109
rank_gender,Niklas Luhmann,m,Other,Associate Professor,m,62,Constructivism,Denmark 2017,International,216
rank_gender,Susan Strange,f,International/Global Political Economy,Other,NA,NA,Constructivism,United Kingdom 2017,International,240
rank_gender,Susan Strange,f,International/Global Political Economy,Other,NA,NA,Constructivism,United Kingdom 2017,International,240
rank_gender,Mary Ruggie,f,International/Global Political Economy,Assistant Professor,f,46,Other,United Kingdom 2017,International,401
rank_gender,James N. Rosenau,m,NA,NA,NA,NA,NA,NA,International,522
rank_gender,Stephen M. Walt,m,I am not an IR scholar,Associate Professor,m,53,Realism,Singapore 2017,International,5
rank_gender,Alexander Wendt,m,European Studies/European Integration,Other,m,60,Other,Netherlands 2017,International,452
rank_gender,Sylvia Federici,NA,International Relations Theory,Associate Professor,m,49,Non-paradigmatic,Australia 2017,International,136
rank_gender,Peter J. Katzenstein,m,International Relations of a particular region/country,Full Professor,f,NA,Other,Australia 2017,International,502
rank_gender,Joseph S. Nye Jr.,m,Human Rights,Assistant Professor,f,50,Constructivism,Australia 2017,International,306
rank_gender,Alexander Wendt,m,International Relations of a particular region/country,Full Professor,m,69,Realism,Australia 2017,International,332
rank_gender,Alexander Wendt,m,International Relations of a particular region/country,Other,m,56,Other,Australia 2017,International,161
rank_gender,Kenneth Waltz,m,European Studies/European Integration,Associate Professor,m,NA,Non-paradigmatic,Australia 2017,International,424
rank_gender,Alexander Wendt,m,International/Global Ethics,Associate Professor,m,51,Other,Australia 2017,International,425
rank_gender,Alexander Wendt,m,Other,Full Professor,f,64,Non-paradigmatic,Australia 2017,International,410
rank_gender,Iver B. Neumann,m,Other,Other,NA,NA,Constructivism,Denmark 2017,International,248
rank_gender,Ole Wæver,m,Other,Other,NA,NA,Other,Norway 2017,International,239
rank_gender,Elinor Ostrom,NA,European Studies/European Integration,Associate Professor,NA,47,Non-paradigmatic,Norway 2017,International,521
rank_gender,J. Ann Tickner,f,Human Security,Associate Professor,m,49,Non-paradigmatic,Australia 2017,International,565
rank_gender,Iver B. Neumann,m,International Relations of a particular region/country,Associate Professor,NA,NA,Other,Denmark 2017,International,471
rank_gender,Karl Deutsch,m,European Studies/European Integration,Full Professor,f,60,Constructivism,Australia 2017,International,222
rank_gender,Karl Deutsch,m,European Studies/European Integration,Full Professor,f,60,Constructivism,Australia 2017,International,222
rank_gender,Joseph S. Nye Jr.,m,${e://Field/CountryAdj} Foreign Policy,Associate Professor,f,NA,Realism,Philippines 2017,International,530
rank_gender,Kenneth Waltz,m,International Relations of a particular region/country,Assistant Professor,m,50,Realism,New Zealand 2017,International,113
rank_gender,Martha Finnemore,f,International/Global Political Economy,Full Professor,m,56,Other,Australia 2017,International,365
rank_gender,John J. Mearsheimer,m,International/Global Security,Associate Professor,m,35,Realism,Australia 2017,International,545
rank_gender,John J. Mearsheimer,m,International/Global Security,Associate Professor,m,35,Realism,Australia 2017,International,545
rank_gender,Robert Jervis,m,International/Global Security,Associate Professor,m,NA,Realism,Australia 2017,International,380
rank_gender,Robert W. Cox,m,International/Global Political Economy,Assistant Professor,m,NA,Other,Australia 2017,International,154
rank_gender,Kristian Skrede Gleditsch,m,International/Global Security,Other,m,NA,Non-paradigmatic,Norway 2017,International,2
rank_gender,Henry Kissinger,m,International/Global Security,Other,NA,NA,Liberalism,Sweden 2017,International,93
rank_gender,Alexander Wendt,m,International/Global Political Economy,Full Professor,m,54,Non-paradigmatic,Finland 2017,International,508
rank_gender,Beth A. Simmons,f,International/Global Political Economy,Other,f,NA,Constructivism,United Kingdom 2017,International,312
rank_gender,Lawrence Freedman,m,International/Global Security,Assistant Professor,NA,NA,Other,Denmark 2017,International,90
rank_gender,Bruce Bueno de Mesquita,m,Human Rights,Associate Professor,m,NA,Non-paradigmatic,United Kingdom 2017,International,428
rank_gender,Jenny Edkins,f,International/Global Security,Assistant Professor,f,34,Constructivism,United Kingdom 2017,International,139
rank_gender,Robert W. Cox,m,I am not an IR scholar,Associate Professor,m,50,Other,United Kingdom 2017,International,251
rank_gender,Cynthia Enloe,f,International/Global Environmental Politics,Full Professor,NA,NA,Other,United Kingdom 2017,International,183
rank_gender,Barry Buzan,m,International Relations Theory,Assistant Professor,m,NA,Other,United Kingdom 2017,International,429
rank_gender,Jeffrey T. Checkel,m,International Organization(s),Associate Professor,m,49,Liberalism,United Kingdom 2017,International,394
rank_gender,James Fearon,m,Other,Other,NA,NA,Non-paradigmatic,Denmark 2017,International,464
rank_gender,Robert O. Keohane,m,Human Rights,Associate Professor,m,50,Non-paradigmatic,New Zealand 2017,International,25
rank_gender,Colin Crouch,m,International/Global Political Economy,Full Professor,m,70,Non-paradigmatic,United Kingdom 2017,International,68
rank_gender,Kenneth Waltz,m,NA,NA,NA,NA,NA,NA,International,432
rank_gender,Kathryn A. Sikkink,f,Global Civil Society,Associate Professor,m,66,Other,Australia 2017,International,422
rank_gender,Alexander Wendt,m,International/Global Security,Assistant Professor,f,NA,Realism,Australia 2017,International,226
rank_gender,Alexander Wendt,m,I am not an IR scholar,Other,m,NA,Realism,United Kingdom 2017,International,563
rank_gender,Samuel P. Huntington,m,Comparative Foreign Policy,Other,f,39,Constructivism,Australia 2017,International,176
rank_gender,Kenneth Waltz,m,International/Global Security,Other,NA,NA,Non-paradigmatic,Denmark 2017,International,390
rank_gender,Leonard Seabrooke,m,Development studies,Assistant Professor,m,NA,Constructivism,Australia 2017,International,291
rank_gender,Kathryn A. Sikkink,f,Human Rights,NA,f,NA,Constructivism,Brazil 2017,International,167
rank_gender,William C. Wohlforth,m,International Relations of a particular region/country,NA,m,40,Non-paradigmatic,Brazil 2017,International,554
rank_gender,R. B. J. Walker,m,Human Rights,NA,f,NA,Other,Brazil 2017,International,301
rank_gender,John J. Mearsheimer,m,International/Global Security,NA,m,38,Realism,Brazil 2017,International,88
rank_gender,Helen V. Milner,f,International/Global Political Economy,NA,NA,NA,Realism,Chile 2017,International,482
rank_gender,Alexander Wendt,m,International/Global Political Economy,NA,m,46,Non-paradigmatic,Colombia 2017,International,550
rank_gender,Ken Booth,m,Other,NA,NA,49,Constructivism,Argentina 2017,International,407
rank_gender,Kenneth Waltz,m,International/Global Environmental Politics,NA,f,38,Liberalism,Colombia 2017,International,144
rank_gender,Robert W. Cox,m,International Relations of a particular region/country,NA,f,67,Other,Mexico 2017,International,35
rank_gender,Robert W. Cox,m,International/Global Political Economy,Associate Professor,m,43,Other,Canada 2017,International,131
rank_gender,Helen V. Milner,f,International/Global Political Economy,Associate Professor,m,44,Non-paradigmatic,Canada 2017,International,376
rank_gender,Emanuel Adler,m,Other,Associate Professor,f,44,Constructivism,Canada 2017,International,462
rank_gender,Martha Finnemore,f,International/Global Security,Assistant Professor,m,47,Non-paradigmatic,Canada 2017,International,63
rank_gender,Richard Rosecrance,m,International Relations Theory,Full Professor,m,NA,Liberalism,Canada 2017,International,490
rank_gender,Alexander Wendt,m,International/Global Security,Associate Professor,m,NA,Constructivism,Canada 2017,International,7
rank_gender,Alexander Wendt,m,International Relations of a particular region/country,Associate Professor,f,45,Constructivism,Canada 2017,International,185
rank_gender,Emanuel Adler,m,International/Global Security,Associate Professor,f,35,Non-paradigmatic,Canada 2017,International,497
rank_gender,Graham T. Allison,m,International/Global Security,Assistant Professor,NA,41,Constructivism,France 2017,International,474
rank_gender,Anne-Marie Slaughter,f,Other,Assistant Professor,f,45,Constructivism,Canada 2017,International,19
rank_gender,Edward Azar,m,International Relations of a particular region/country,Associate Professor,m,49,Non-paradigmatic,Canada 2017,International,393
rank_gender,Timothy Brook ,NA,International/Global History,Emeritus,m,67,Other,Canada 2017,International,534
rank_gender,Joseph S. Nye Jr.,m,International/Global Security,Full Professor,m,69,Realism,Canada 2017,International,47
rank_gender,James Fearon,m,International/Global Security,Assistant Professor,m,37,Non-paradigmatic,Canada 2017,International,56
rank_gender,John G. Ruggie,m,International/Global Political Economy,Full Professor,m,65,Realism,Canada 2017,International,498
rank_gender,Kenneth Waltz,m,Religion in IR,Assistant Professor,m,50,Constructivism,Canada 2017,International,292
rank_gender,Martha Finnemore,f,International/Global Environmental Politics,Full Professor,f,53,Other,Canada 2017,International,546
rank_gender,Alexander Wendt,m,International/Global Security,Full Professor,m,52,Other,Canada 2017,International,512
rank_gender,Alexander Wendt,m,International Relations Theory,Full Professor,m,57,Constructivism,Canada 2017,International,494
rank_gender,Anne-Marie Slaughter,f,Human Security,Full Professor,m,55,Liberalism,Canada 2017,International,276
rank_gender,Martha Finnemore,f,International/Global Security,Other,f,34,Constructivism,Canada 2017,International,290
rank_gender,Cynthia Enloe,f,Gender in IR,Associate Professor,f,NA,Other,Canada 2017,International,381
rank_gender,John J. Mearsheimer,m,Comparative Foreign Policy,Full Professor,m,64,Constructivism,Canada 2017,International,377
rank_gender,John J. Mearsheimer,m,Comparative Foreign Policy,Full Professor,m,64,Constructivism,Canada 2017,International,377
rank_gender,Michel Foucault,m,International/Global History,Other,NA,NA,Other,France 2017,International,487
rank_gender,Patricia Owens,f,International/Global Security,Associate Professor,m,41,Constructivism,Canada 2017,International,256
rank_gender,Beth A. Simmons,f,International/Global Political Economy,Associate Professor,f,NA,Liberalism,Canada 2017,International,258
rank_gender,Cynthia Enloe,f,International Relations Theory,Associate Professor,m,51,Constructivism,Canada 2017,International,175
rank_gender,John J. Mearsheimer,m,NA,NA,NA,NA,NA,NA,International,568
rank_gender,John J. Mearsheimer,m,NA,NA,NA,NA,NA,NA,International,568
rank_gender,Alexander Wendt,m,History of the international relations discipline,Full Professor,m,55,Other,Canada 2017,International,53
rank_gender,Robert Jervis,m,International/Global Security,Assistant Professor,m,45,Realism,Canada 2017,International,491
rank_gender,Gunnar Myrdal,NA,International/Global Security,Emeritus,m,75,Non-paradigmatic,Canada 2017,International,57
rank_gender,Vincent Pouliot,m,International Relations Theory,Assistant Professor,m,34,Constructivism,Canada 2017,International,540
rank_gender,Alexander Wendt,m,European Studies/European Integration,Associate Professor,m,NA,Constructivism,Canada 2017,International,555
rank_gender,Immanuel Kant,m,International Organization(s),Assistant Professor,m,44,Constructivism,Canada 2017,International,355
rank_gender,Kenneth Waltz,m,U.S. Foreign Policy,Full Professor,m,71,Realism,Canada 2017,International,539
rank_gender,John J. Mearsheimer,m,${e://Field/CountryAdj} Foreign Policy,Assistant Professor,f,49,Realism,Canada 2017,International,417
rank_gender,John J. Mearsheimer,m,${e://Field/CountryAdj} Foreign Policy,Assistant Professor,f,49,Realism,Canada 2017,International,417
rank_gender,Alexander Wendt,m,Development studies,Associate Professor,m,56,Constructivism,Canada 2017,International,116
rank_gender,Alexander Wendt,m,International/Global Political Economy,Full Professor,m,52,Other,Canada 2017,International,493
rank_gender,John J. Mearsheimer,m,NA,NA,NA,NA,NA,NA,International,489
rank_gender,Robert W. Cox,m,International/Global Political Economy,Associate Professor,f,NA,Other,Canada 2017,International,356
rank_gender,Hans Morgenthau,m,International/Global Ethics,Full Professor,m,NA,Other,Canada 2017,International,92
rank_gender,Rob Walker,m,International/Global Security,Associate Professor,f,NA,Constructivism,Canada 2017,International,532
rank_gender,Robert W. Cox,m,International/Global Political Economy,Associate Professor,f,52,Non-paradigmatic,Canada 2017,International,442
rank_gender,Kenneth Waltz,m,International/Global Political Economy,Assistant Professor,m,43,Constructivism,Canada 2017,International,190
rank_gender,David A. Lake,m,Global Civil Society,Associate Professor,f,36,Non-paradigmatic,Canada 2017,International,236
rank_gender,Vincent Pouliot,m,International Relations of a particular region/country,Associate Professor,m,43,Constructivism,Canada 2017,International,106
rank_gender,Barry Buzan,m,International/Global Security,NA,m,38,Constructivism,Italy 2017,International,164
rank_gender,Antje Weiner,f,European Studies/European Integration,NA,m,57,Constructivism,Italy 2017,International,388
rank_gender,Barry Buzan,m,International Relations of a particular region/country,NA,m,34,Other,Italy 2017,International,438
rank_gender,James Fearon,m,Other,NA,NA,38,Non-paradigmatic,Italy 2017,International,419
rank_gender,Alexander Wendt,m,International Relations of a particular region/country,NA,f,39,Constructivism,Italy 2017,International,473
rank_gender,Robert O. Keohane,m,International/Global Political Economy,NA,f,46,Liberalism,Italy 2017,International,435
rank_gender,Mark Laffey,m,International Relations of a particular region/country,NA,f,NA,Constructivism,Italy 2017,International,430
rank_gender,Karl Marx,m,International/Global History,Emeritus,m,NA,Constructivism,Japan 2017,International,495
rank_gender,Joseph S. Nye Jr.,m,International Relations of a particular region/country,Associate Professor,f,NA,Liberalism,Japan 2017,International,300
rank_gender,Benjamin J. Cohen,m,${e://Field/CountryAdj} Foreign Policy,NA,m,51,Realism,Japan 2017,International,153
rank_gender,Alexander Wendt,m,European Studies/European Integration,NA,f,41,Constructivism,Poland 2017,International,447
rank_gender,Alexander Wendt,m,European Studies/European Integration,NA,m,NA,Other,Poland 2017,International,320
rank_gender,Alexander Wendt,m,${e://Field/CountryAdj} Foreign Policy,Full Professor,NA,44,Constructivism,Turkey 2017,International,170
rank_gender,Kenneth Waltz,m,International/Global Security,Associate Professor,m,NA,Realism,Turkey 2017,International,80
rank_gender,James Fearon,m,Comparative Foreign Policy,Assistant Professor,m,37,Liberalism,Turkey 2017,International,412
rank_gender,Alexander Wendt,m,European Studies/European Integration,Assistant Professor,f,35,Constructivism,Turkey 2017,International,340
rank_gender,Henry Kissinger,m,${e://Field/CountryAdj} Foreign Policy,Full Professor,m,NA,Realism,Turkey 2017,International,500
rank_gender,Henry Kissinger,m,European Studies/European Integration,Associate Professor,NA,51,Other,Turkey 2017,International,297
rank_gender,Robert W. Cox,m,International/Global Political Economy,Assistant Professor,f,46,Constructivism,Turkey 2017,International,326
rank_gender,Richard Ned Lebow,m,Other,Associate Professor,NA,38,Realism,Turkey 2017,International,303
rank_gender,Kenneth Waltz,m,International/Global Security,Assistant Professor,f,NA,Constructivism,Turkey 2017,International,441
rank_gender,Bruce Bueno de Mesquita,m,International/Global Security,Assistant Professor,m,NA,Liberalism,Turkey 2017,International,22
